mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_samples,param_min_samples_leaf,param_n_estimators,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,mean_test_r2,std_test_r2,rank_test_r2
65.14472861289978,5.262979856001413,2.162606430053711,0.10134031912426077,,0.1,2,100,-1.0050506201123908,0.0032966300488143346,18,-2.1950028895356533,0.06587708933517561,17,0.17615059000385513,0.004901254133622479,17
61.7196765422821,0.8965090622131483,2.089391660690308,0.08464120450094366,,0.1,2,105,-1.0047064349668702,0.0033199271850932357,17,-2.1940289052961885,0.06598832533313659,15,0.17651736020067038,0.004949745184895469,15
70.79108412265778,0.9948806705669728,2.449374556541443,0.12467100137467996,,0.1,2,120,-1.004062441244096,0.0033761299891855246,14,-2.1917918154533362,0.06624967341580586,8,0.17735990632286894,0.00506013248349883,8
68.21585359573365,1.1759213956299102,2.327886462211609,0.08575378225799951,,0.1,2,115,-1.0042777786286896,0.0033757177842269497,16,-2.192430258326733,0.0662054072599881,13,0.17711975095624727,0.0050416967033347325,13
70.51213493347169,0.8025409106971729,2.4072131156921386,0.09202902037772984,,0.1,2,120,-1.004062441244096,0.0033761299891855246,14,-2.1917918154533362,0.06624967341580586,8,0.17735990632286894,0.00506013248349883,8
73.41440694332123,0.9864957056820546,2.4938183069229125,0.15499184318391748,,0.1,2,125,-1.0039321473135199,0.0033779901259746005,13,-2.1913418441591053,0.06644076492475058,7,0.17753080156075693,0.005105140815869751,7
76.42024188041687,0.624945470784102,2.6086329936981203,0.09881177260004137,,0.1,2,130,-1.0037214779103598,0.003414761699318453,11,-2.190684598727908,0.06642924102175557,4,0.17777760006336835,0.005095760549992015,4
79.03977406024933,0.944869774223024,2.6407792568206787,0.12031094787069982,,0.1,2,135,-1.0035266613612492,0.0033449787399413965,9,-2.1901870180813905,0.06635606475990105,2,0.17796381930711308,0.005073516907789354,2
82.42259485721588,0.8127269191062773,2.7452033042907713,0.10339428122281649,,0.1,2,140,-1.0033863629824666,0.0033873279204806456,8,-2.189708287774212,0.06643363587248959,1,0.17814452507713957,0.005075229265898464,1
65.69713847637176,4.6263024334207845,1.9544652700424194,0.1572105253802815,,0.1,3,100,-1.003841870155737,0.0035746218377967153,12,-2.195222618132566,0.06575007543147358,18,0.17606718418922995,0.0048008706654346055,18
77.11005132198333,0.6168467448865854,2.305574107170105,0.20738493805126254,,0.1,3,105,-1.0035720584044878,0.0035745172769493998,10,-2.194307881939902,0.06576000274058318,16,0.1764107498897482,0.004821008324423026,16
70.49049165248871,1.1099271022103019,2.0509432554244995,0.06443511898086494,,0.1,3,120,-1.0029971782250116,0.0036528343432184153,5,-2.1923928308114116,0.06599543268350343,11,0.177132302747963,0.0049024885764732936,11
66.1330872297287,0.7937290179161756,1.990188217163086,0.08823059021232252,,0.1,3,115,-1.003200523385736,0.003616421536655386,7,-2.1929939216123353,0.06598291297579993,14,0.17690644166253222,0.004893837808133921,14
68.21309666633606,0.9227375898712029,2.0313765525817873,0.08277032765132565,,0.1,3,120,-1.0029971782250116,0.0036528343432184153,5,-2.1923928308114116,0.06599543268350343,11,0.177132302747963,0.0049024885764732936,11
70.82993092536927,0.8087179481052421,2.1648016214370727,0.08084099513755459,,0.1,3,125,-1.0028757925247518,0.0036489287471670687,4,-2.1919438381951193,0.06608497433085032,10,0.17730186723549138,0.004920832955881014,10
73.65546791553497,0.6287759259698229,2.2439011096954347,0.06330116051534582,,0.1,3,130,-1.0026917091316194,0.0036585747753444314,3,-2.1912792042512637,0.06615341050047077,6,0.17755207911510945,0.004952576020439547,6
76.54056446552276,0.9611171096193464,2.324546241760254,0.062205311727064644,,0.1,3,135,-1.0025150115999446,0.0035952236775740444,2,-2.1908411392131972,0.06614653594313785,5,0.17771657489403678,0.004945936725794036,5
79.0343458890915,0.7924257406019194,2.31301064491272,0.11900211859893693,,0.1,3,140,-1.0023849932085782,0.0036005338199678,1,-2.1904236813403313,0.06607384451080521,3,0.1778729159121602,0.004898961694939874,3
