name,importance
GEOID,0.278656373561066
month,0.18467462098087048
YYYYMM,0.13158199957606445
popuDensity_ALAND_km2,0.08320174671701178
temp_F,0.047425431147505845
pm25_ug_m-3,0.03436583447613571
NPP_g_m-2,0.03396823771967814
median_inc,0.03388187592977119
PDSI,0.03318926030473523
Rh_g_m-2,0.0315051935051266
SP01,0.0312037689858279
ALAND_ATOTAL_ratio,0.029923120568782605
precip_in,0.025307469963823458
smallf_frac,0.006581525160708153
burned_frac,0.006213686257170839
DM_kg_m-2,0.00289730173911121
BB_g_m-2,0.0028106084873436555
C_g_m-2,0.002611944919266888
